text,label
川建国同志贸易战没做成的事情，他正想着借疫情来完成呢，其它本来应该做壁上观的国家，在美国的施压下，你能保证他们不做些什么事情？,"[{""start"": 0, ""end"": 3, ""text"": ""川建国"", ""labels"": [""PER""]}, {""start"": 42, ""end"": 44, ""text"": ""美国"", ""labels"": [""LOC""]}]"
还是我们国家人民解放军高效率，向解放军致敬[good][good][good][good][good][good]你们辛苦了！,"[{""start"": 6, ""end"": 11, ""text"": ""人民解放军"", ""labels"": [""ORG""]}]"
武汉疫情蔓延全球，就是疾控专家水平太次。,"[{""start"": 0, ""end"": 2, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
以前外地和国外病例从未有过因为与新冠患者一起坐飞机高铁而感染的，如果威海的8例乘客和2个乘务员，因为坐火车感染方式就需要重新确立密切接触者这个概念。,"[{""start"": 16, ""end"": 18, ""text"": ""新冠"", ""labels"": [""DIS""]}, {""start"": 34, ""end"": 36, ""text"": ""威海"", ""labels"": [""LOC""]}, {""start"": 64, ""end"": 68, ""text"": ""密切接触"", ""labels"": [""TREAT""]}]"
纵览冠状病毒肺炎战“疫”，无论是治疗防控隔离，应急救援，全国军民响应支持配合，捐赠，还是防控措施响应，全民响应及为救治器材设备生产乃至“战时”医院的建成投入使用的创记录的中国速度，无一不体现出中国共产党领导的凝聚力战斗力和独一无二的创造力。,"[{""start"": 2, ""end"": 8, ""text"": ""冠状病毒肺炎"", ""labels"": [""DIS""]}, {""start"": 20, ""end"": 22, ""text"": ""隔离"", ""labels"": [""POL""]}, {""start"": 23, ""end"": 27, ""text"": ""应急救援"", ""labels"": [""POL""]}, {""start"": 96, ""end"": 101, ""text"": ""中国共产党"", ""labels"": [""ORG""]}]"
消毒液会比疫情前市场保有量提升，但是会比疫情期间需求量大幅减少。,"[{""start"": 0, ""end"": 3, ""text"": ""消毒液"", ""labels"": [""TOOL""]}]"
在沒有口罩又必需要去人群多的地方，至少戴眼鏡找能包覆鼻口的圍巾暫時替代，回家後用消毒水或清潔用劑清洗。,"[{""start"": 3, ""end"": 5, ""text"": ""口罩"", ""labels"": [""TOOL""]}, {""start"": 40, ""end"": 43, ""text"": ""消毒水"", ""labels"": [""TOOL""]}]"
为什么米国第一个赶紧把领馆人员撤走（表面当然看起来时一个负责的姿态以及都知道的想趁机把中国搞成“疫情国”，但这需要很大的信息量来判断）？,"[{""start"": 43, ""end"": 45, ""text"": ""中国"", ""labels"": [""LOC""]}]"
有谁知道他们怀着什么鬼目的，我们中国人完全有能力战胜疫情。,"[{""start"": 16, ""end"": 18, ""text"": ""中国"", ""labels"": [""LOC""]}]"
出门戴口罩，少去人多的地方，取得这场防疫战的胜利，既要靠党和政府坚强领导，也取决于我们民众的文明、理性、担当、素养，只要全社会团结一致、每个人担当自律，就一定能战胜疫情。,"[{""start"": 3, ""end"": 5, ""text"": ""口罩"", ""labels"": [""TOOL""]}, {""start"": 28, ""end"": 29, ""text"": ""党"", ""labels"": [""ORG""]}]"
病死率应该怎么计算?我以为应该以同一时期治愈数和死亡数之比计算，而不是以同时期确诊数和死亡数之比，因为确诊数里的病人正在治疗中，最后结果一部分治愈一部分死亡。,"[{""start"": 39, ""end"": 41, ""text"": ""确诊"", ""labels"": [""TREAT""]}, {""start"": 51, ""end"": 53, ""text"": ""确诊"", ""labels"": [""TREAT""]}]"
"&lt;她最早判断出疫情并上报&gt;,,,不是她最早上报的，这新闻不准确，12月27日病毒样本已经分析出来了。","[{""start"": 38, ""end"": 44, ""text"": ""12月27日"", ""labels"": [""TIME""]}]"
当前中国人民正在与新型冠状病毒感染肺炎疫情进行严肃的斗争。,"[{""start"": 2, ""end"": 4, ""text"": ""中国"", ""labels"": [""LOC""]}, {""start"": 9, ""end"": 14, ""text"": ""新型冠状病"", ""labels"": [""DIS""]}, {""start"": 17, ""end"": 19, ""text"": ""肺炎"", ""labels"": [""DIS""]}]"
应该不是海鲜的问题，以前sars就是野生动物引起的，好像很少有海鲜引起人感染病毒并且引发那么多人感染得肺炎的,"[{""start"": 12, ""end"": 16, ""text"": ""sars"", ""labels"": [""DIS""]}, {""start"": 51, ""end"": 53, ""text"": ""肺炎"", ""labels"": [""DIS""]}]"
传染病这事真的不是某个人或某个地区的事，是不是必须传遍全球了WHO才会关注？,"[{""start"": 30, ""end"": 33, ""text"": ""WHO"", ""labels"": [""ORG""]}]"
昨天看报道，说美国研制出一种药，对新型肺炎有效，说要跟中国合作。,"[{""start"": 7, ""end"": 9, ""text"": ""美国"", ""labels"": [""LOC""]}, {""start"": 17, ""end"": 21, ""text"": ""新型肺炎"", ""labels"": [""DIS""]}, {""start"": 27, ""end"": 29, ""text"": ""中国"", ""labels"": [""LOC""]}]"
中国人的餐桌陋习，一桌人筷子沾着口水捡菜，一人有病全桌遭殃！,"[{""start"": 0, ""end"": 2, ""text"": ""中国"", ""labels"": [""LOC""]}]"
",,这次疫情出现，徐峥做出这种决定，往大了说是利国利民的大好事你知道吗？","[{""start"": 9, ""end"": 11, ""text"": ""徐峥"", ""labels"": [""PER""]}]"
因为这样的肺炎目前看传播快，但是危害不会很大，持续时间也不会很久，再加上目前控制疫情很严格了。,"[{""start"": 5, ""end"": 7, ""text"": ""肺炎"", ""labels"": [""DIS""]}]"
预测是最难的，事后人人都是诸葛亮。,"[{""start"": 13, ""end"": 16, ""text"": ""诸葛亮"", ""labels"": [""PER""]}]"
是流感为何死了14000多人，如果是流感死了这么多人，那就是美帝的医疗水平太差！,"[{""start"": 1, ""end"": 3, ""text"": ""流感"", ""labels"": [""DIS""]}, {""start"": 18, ""end"": 20, ""text"": ""流感"", ""labels"": [""DIS""]}, {""start"": 30, ""end"": 32, ""text"": ""美帝"", ""labels"": [""LOC""]}]"
三是试验成功疫苗，１４亿人得到免疫。,"[{""start"": 6, ""end"": 8, ""text"": ""疫苗"", ""labels"": [""TREAT""]}]"
明明是16号，这明显是造谣的谣言,"[{""start"": 3, ""end"": 6, ""text"": ""16号"", ""labels"": [""TIME""]}]"
",,【高盛：受疫情影响,[太开心][好爱哦]","[{""start"": 3, ""end"": 5, ""text"": ""高盛"", ""labels"": [""ORG""]}]"
2019年12月31日，在武汉通报出现27例新冠肺炎病例当天，新京报记者曾探访华南海鲜市场，发现野生动物交易区卫生脏乱，恶臭弥漫，动物尸体以及内脏被随意丢弃。,"[{""start"": 0, ""end"": 11, ""text"": ""2019年12月31日"", ""labels"": [""TIME""]}, {""start"": 13, ""end"": 15, ""text"": ""武汉"", ""labels"": [""LOC""]}, {""start"": 22, ""end"": 26, ""text"": ""新冠肺炎"", ""labels"": [""DIS""]}, {""start"": 31, ""end"": 36, ""text"": ""新京报记者"", ""labels"": [""ORG""]}, {""start"": 39, ""end"": 45, ""text"": ""华南海鲜市场"", ""labels"": [""LOC""]}]"
三月疫情结束，四月认真备课，五月调整心态，六月高考金榜题名，七月风调雨顺，八月丰收在望。,"[{""start"": 0, ""end"": 2, ""text"": ""三月"", ""labels"": [""TIME""]}, {""start"": 7, ""end"": 9, ""text"": ""四月"", ""labels"": [""TIME""]}, {""start"": 14, ""end"": 16, ""text"": ""五月"", ""labels"": [""TIME""]}, {""start"": 21, ""end"": 23, ""text"": ""六月"", ""labels"": [""TIME""]}, {""start"": 30, ""end"": 32, ""text"": ""七月"", ""labels"": [""TIME""]}, {""start"": 37, ""end"": 39, ""text"": ""八月"", ""labels"": [""TIME""]}]"
在抗击新冠病毒的紧要关头，为啥子突然就冒出个取消公积金的问题来？,"[{""start"": 3, ""end"": 7, ""text"": ""新冠病毒"", ""labels"": [""DIS""]}]"
行政人员做的不是与新冠患者密切接触工作，补助也应该给，因为风险毕竟也是有的，付出的辛苦也是多的，但要比冒死的医护人员少一些更合理，观感也会更好些！,"[{""start"": 9, ""end"": 11, ""text"": ""新冠"", ""labels"": [""DIS""]}]"
中国太极拳可以治疗新冠肺炎，瑜伽为什么不行？,"[{""start"": 0, ""end"": 2, ""text"": ""中国"", ""labels"": [""LOC""]}, {""start"": 9, ""end"": 13, ""text"": ""新冠肺炎"", ""labels"": [""DIS""]}]"
即使扩大中国数据，最差的结果也就是5个家族俱全，但日子可未必比美国的早，日本、意大利都有夏威夷感染的病例。,"[{""start"": 4, ""end"": 6, ""text"": ""中国"", ""labels"": [""LOC""]}, {""start"": 31, ""end"": 33, ""text"": ""美国"", ""labels"": [""LOC""]}, {""start"": 36, ""end"": 38, ""text"": ""日本"", ""labels"": [""LOC""]}, {""start"": 39, ""end"": 42, ""text"": ""意大利"", ""labels"": [""LOC""]}, {""start"": 44, ""end"": 47, ""text"": ""夏威夷"", ""labels"": [""LOC""]}]"
一般新增确诊人数由增加转为下降表示疫情拐点出现。,"[{""start"": 4, ""end"": 6, ""text"": ""确诊"", ""labels"": [""TREAT""]}]"
我也留学生，我感觉其中一部分原因大概是因为美国只是有少量被传染者，而且基本已被隔离/追踪。,"[{""start"": 21, ""end"": 23, ""text"": ""美国"", ""labels"": [""LOC""]}, {""start"": 39, ""end"": 41, ""text"": ""隔离"", ""labels"": [""POL""]}, {""start"": 42, ""end"": 44, ""text"": ""追踪"", ""labels"": [""POL""]}]"
疫情指数暴涨，事态越来越严峻，病魔无情，人不能无情，嘴下留德，不要让武汉和湖北人民寒了心,"[{""start"": 34, ""end"": 36, ""text"": ""武汉"", ""labels"": [""LOC""]}, {""start"": 37, ""end"": 39, ""text"": ""湖北"", ""labels"": [""LOC""]}]"
从现在的情况看:只要雷神山和火神山新建的医院终止建设的那一天或停止使用的那一天，疫情才是真正得到控制的一天。,"[{""start"": 10, ""end"": 13, ""text"": ""雷神山"", ""labels"": [""LOC""]}, {""start"": 14, ""end"": 17, ""text"": ""火神山"", ""labels"": [""LOC""]}]"
现在从韩国回来的都是疫情期间逃出国的杂毛。,"[{""start"": 3, ""end"": 5, ""text"": ""韩国"", ""labels"": [""LOC""]}]"
",,以SARS为例，SARS的首位患者于2002年11月中旬发现，疫情在2003年3月至5月加速扩散，从病毒爆发后的大概90天达到高峰，到6月则基本得以遏制，持续时间超过六个月。","[{""start"": 3, ""end"": 7, ""text"": ""SARS"", ""labels"": [""DIS""]}, {""start"": 10, ""end"": 14, ""text"": ""SARS"", ""labels"": [""DIS""]}, {""start"": 20, ""end"": 28, ""text"": ""2002年11月"", ""labels"": [""TIME""]}, {""start"": 36, ""end"": 46, ""text"": ""2003年3月至5月"", ""labels"": [""TIME""]}, {""start"": 69, ""end"": 71, ""text"": ""6月"", ""labels"": [""TIME""]}]"
非典病毒严重于新冠肺炎，而对其他脏器侵犯要高于SARS病毒，这与寄生在非胎生动物消化道短而脏器多的特征。,"[{""start"": 0, ""end"": 2, ""text"": ""非典"", ""labels"": [""DIS""]}, {""start"": 7, ""end"": 11, ""text"": ""新冠肺炎"", ""labels"": [""DIS""]}, {""start"": 23, ""end"": 29, ""text"": ""SARS病毒"", ""labels"": [""DIS""]}]"
中国的A股市场弱不禁风，散户是大多数，现在要是开盘，大趋势是暴跌，必然加剧了人们的恐慌情绪，极有可能发生股市踩踏事件，越发不可收拾，这还不包括某些国际资本的动向。,"[{""start"": 0, ""end"": 2, ""text"": ""中国"", ""labels"": [""LOC""]}]"
新冠病是免费的！,"[{""start"": 0, ""end"": 3, ""text"": ""新冠病"", ""labels"": [""DIS""]}]"
可惜的是日韩意大利等地的外国不懂抓住中国人民巨大牺牲抢出来的一个月的机会，不重视新冠的危险性。,"[{""start"": 4, ""end"": 5, ""text"": ""日"", ""labels"": [""LOC""]}, {""start"": 5, ""end"": 6, ""text"": ""韩"", ""labels"": [""LOC""]}, {""start"": 6, ""end"": 9, ""text"": ""意大利"", ""labels"": [""LOC""]}, {""start"": 18, ""end"": 20, ""text"": ""中国"", ""labels"": [""LOC""]}, {""start"": 40, ""end"": 42, ""text"": ""新冠"", ""labels"": [""DIS""]}]"
"你能未卜先知，你能天降试纸，,,,,,,,你能天降武汉一对一的百万医生护士，你能天降百万床位的先进医院，,,,,,,你能在潜伏期确认所有患者是否是疫情还是自身疾病，你能全部收治全部治好！","[{""start"": 25, ""end"": 27, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
关键现在中国比较透明，大家自己可以判断某地大概安全还是不安全。,"[{""start"": 4, ""end"": 6, ""text"": ""中国"", ""labels"": [""LOC""]}]"
治愈疾病，查找病源，需要时间，建立疫情时期的城市新次序是最重要的，有次序物资调配，人员安排，效率才会提高，群众得病才能及时救助，可惜武汉情况，真的不理想,"[{""start"": 66, ""end"": 68, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
不针对新冠病毒关键酶开发抗病毒药物做到特效很难，瑞德西韦抗病毒可能特效，因为瑞德西韦针对的是冠状病毒RNA复制共用的底物，其他抗病毒药物可能会减慢病毒复制，但效率有限，在艾滋病早期也没有特效药，但几种药物混合的鸡尾酒疗法增加了抗病毒药效，新冠肺炎治疗也可以采用抗病毒药物鸡尾酒疗法，虽然患者有不适和副作用，但比病情危重需要插管好很多。,"[{""start"": 3, ""end"": 7, ""text"": ""新冠病毒"", ""labels"": [""DIS""]}, {""start"": 24, ""end"": 28, ""text"": ""瑞德西韦"", ""labels"": [""MED""]}, {""start"": 38, ""end"": 42, ""text"": ""瑞德西韦"", ""labels"": [""MED""]}, {""start"": 46, ""end"": 50, ""text"": ""冠状病毒"", ""labels"": [""DIS""]}, {""start"": 85, ""end"": 88, ""text"": ""艾滋病"", ""labels"": [""DIS""]}, {""start"": 119, ""end"": 123, ""text"": ""新冠肺炎"", ""labels"": [""DIS""]}]"
疫情不是武汉的，是全球来的,"[{""start"": 4, ""end"": 6, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
他们最希望的不是后面一堆一堆的防护用品，而是从根本上消灭此次疫情。,"[{""start"": 15, ""end"": 19, ""text"": ""防护用品"", ""labels"": [""TOOL""]}]"
中国政府应对的疫情做法也许拯救世界。,"[{""start"": 0, ""end"": 4, ""text"": ""中国政府"", ""labels"": [""ORG""]}]"
当然，每个人都有自己的专长，不学无术是指在肺炎病毒传染方面，但最怕是不懂装懂，心理害怕，但又不敢承认而胡乱发表言论的所谓“专家”。,"[{""start"": 21, ""end"": 25, ""text"": ""肺炎病毒"", ""labels"": [""DIS""]}]"
医学上叫隔离。,"[{""start"": 4, ""end"": 6, ""text"": ""隔离"", ""labels"": [""POL""]}]"
光隔离不够，建议严控疫情严重地区入境,"[{""start"": 1, ""end"": 3, ""text"": ""隔离"", ""labels"": [""POL""]}]"
美国的疫情比中国的武汉要早。,"[{""start"": 0, ""end"": 2, ""text"": ""美国"", ""labels"": [""LOC""]}, {""start"": 6, ""end"": 8, ""text"": ""中国"", ""labels"": [""LOC""]}, {""start"": 9, ""end"": 11, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
武汉应该全境封锁禁止任何人出入，防止疫情加速传播,"[{""start"": 0, ""end"": 2, ""text"": ""武汉"", ""labels"": [""LOC""]}, {""start"": 4, ""end"": 8, ""text"": ""全境封锁"", ""labels"": [""POL""]}]"
